MARKER,PairwiseExpressionCorrelation,BETA_discovery,SE_discovery,P_discovery,N_replication,Z_replication,P_replication,Direction_replication,N_all,Z_all,P_all,Direction_all
ENSG00000141956_ENSG00000160224,0.00176272506541727,-0.0080546811296426,0.00452886506227831,0.0753239814583184,11902,0.231,0.8175,+--,65782,-1.511,0.1307,-+--
ENSG00000141956_ENSG00000215447,0.00265445811509757,0.00465531281249312,0.00458093721647834,0.309521632623617,11902,-1.231,0.2183,+--,65782,0.396,0.6921,++--
ENSG00000141956_ENSG00000183036,-0.00382833599398001,-0.00011135779047005,0.00459337850299909,0.980658779437915,11902,0.61,0.5417,+-+,65782,0.238,0.8122,-+-+
ENSG00000141956_ENSG00000226054,-0.00145618656612549,0.00817914253413036,0.00457245740835495,0.0736550882124379,11902,0.222,0.8244,-++,65782,1.713,0.08667,+-++
ENSG00000141956_ENSG00000142173,0.00212973996254532,-0.00496519739041232,0.00459036271859298,0.279409863893382,11902,-1.109,0.2673,-+-,65782,-1.451,0.1469,--+-
ENSG00000141956_ENSG00000265590,0.00213418890594478,-0.000268809688381444,0.00460309899366328,0.953432185479499,11902,0.796,0.426,+++,65782,0.286,0.7751,-+++
ENSG00000141956_ENSG00000182362,-0.00220293101554836,-0.00870613164039168,0.00459812246872874,0.0583087029373698,11902,0.014,0.9884,+-+,65782,-1.707,0.08775,-+-+
ENSG00000141956_ENSG00000185658,-0.00490615675851649,-0.00686685525024959,0.0045900220191219,0.134649162666822,11902,-0.812,0.4166,---,65782,-1.699,0.08923,----
ENSG00000141956_ENSG00000160307,0.00183785909519991,-0.000146588705723857,0.00461225128843597,0.974645649835022,11902,1.277,0.2017,+++,65782,0.514,0.6071,-+++
ENSG00000141956_ENSG00000272659,0.00119242996706078,-0.00740952147368873,0.00457751570541117,0.10552253355406,11902,0.7,0.4842,++-,65782,-1.167,0.2431,-++-
ENSG00000141956_ENSG00000180509,-0.0011441480557194,0.00624795794423018,0.00458086087780197,0.172596370059013,11902,-0.64,0.5222,-+-,65782,0.962,0.336,+-+-
ENSG00000141956_ENSG00000160284,-0.00158809439485298,-0.00254491294669041,0.00459494324767831,0.579683264270906,11902,1.286,0.1986,++-,65782,0.046,0.9636,-++-
ENSG00000141956_ENSG00000185808,0.00186774185591417,-0.00315083261240788,0.00457026716847619,0.490562104976235,11902,-0.399,0.6896,+--,65782,-0.794,0.4273,-+--
ENSG00000141956_ENSG00000183570,0.000657071572790818,0.00209026748084392,0.00458877170451738,0.64873855520654,11902,0.183,0.8545,+--,65782,0.49,0.624,++--
ENSG00000141956_ENSG00000233783,0.00192668913908715,0.00102765026628104,0.00459105590837645,0.822884633849107,11902,0.441,0.6589,-+-,65782,0.39,0.6963,+-+-
ENSG00000141956_ENSG00000160294,-0.00115171388447281,0.0014364856073444,0.00459975469859435,0.754816686866775,11902,1.145,0.2521,-++,65782,0.77,0.4414,+-++
ENSG00000141956_ENSG00000198862,0.00134480267754663,-0.00298344367651808,0.0046248859476883,0.518874973374814,11902,0.559,0.5764,-++,65782,-0.346,0.7292,--++
ENSG00000141956_ENSG00000183250,-0.00251743954945586,0.000696776151186278,0.00458425821026228,0.879192854974532,11902,1.221,0.2221,+-+,65782,0.657,0.5113,++-+
ENSG00000141956_ENSG00000160193,-0.00150518836950314,-0.00827478856246701,0.00458193622798037,0.0709303365796007,11902,0.03,0.9764,-+-,65782,-1.622,0.1048,--+-
ENSG00000141956_ENSG00000183255,-0.000441822379781303,-0.00289908594455328,0.004606066664573,0.529085966937877,11902,-1.483,0.138,---,65782,-1.201,0.2299,----
ENSG00000141956_ENSG00000160310,-0.000520699936962722,-0.00583586561621914,0.00460660150514283,0.20521498860838,11902,1.112,0.2661,+-+,65782,-0.673,0.5007,-+-+
ENSG00000141956_ENSG00000142156,0.00124774924974158,-0.00926795309138189,0.00462957836427548,0.0453004878996658,11902,1.886,0.05933,+++,65782,-1.01,0.3127,-+++
ENSG00000141956_ENSG00000226771,0.00110607007490423,-0.00215351493644382,0.00455356907651578,0.636265739782389,11902,0.14,0.8885,+++,65782,-0.368,0.7126,-+++
ENSG00000141956_ENSG00000270116,-0.00232138874866669,-0.00308770965034745,0.00459286579326281,0.501405871071428,11902,-1.364,0.1725,--+,65782,-1.189,0.2346,---+
ENSG00000141956_ENSG00000160207,-0.0038673812845227,0.000294147402353673,0.00458923672276481,0.948894773230073,11902,0.074,0.9413,+-+,65782,0.089,0.9288,++-+
ENSG00000141956_ENSG00000184385,-0.00821807809333508,0.00577022930550194,0.00463647447161093,0.213310158970171,11902,-0.004,0.997,+--,65782,1.125,0.2607,++--
ENSG00000141956_ENSG00000182093,0.00409650035109296,-0.00149586639211731,0.00459127157283982,0.744571981334073,11902,-0.859,0.3905,---,65782,-0.66,0.5092,----
ENSG00000141956_ENSG00000156239,-0.000221148668827373,-0.00207950547097626,0.00458441579399303,0.650116308813391,11902,0.364,0.7156,-++,65782,-0.256,0.7983,--++
ENSG00000141956_ENSG00000235772,-0.00395292957815876,-0.00247481055321872,0.00458878225895948,0.589670027809986,11902,-0.078,0.9375,+--,65782,-0.521,0.602,-+--
ENSG00000141956_ENSG00000185437,0.00572456982158217,-0.00383680777999316,0.00458903336630721,0.403112532756213,11902,-1.525,0.1272,---,65782,-1.406,0.1599,----
ENSG00000141956_ENSG00000228314,-0.00161114264125474,-0.00129798518868389,0.0046086708813233,0.778220793501935,11902,0.365,0.7155,-++,65782,-0.1,0.9205,--++
